personajes,gender
Administrador de Mescora,male
Agustinos españoles,male
Alberto,male
Alcaldes,male
Alejandro,male
Arzobispo,male
Arzobispo de Suecia,male
Aurelia,female
Bárbaros,male
Basilio,male
Camila,female
Capitán,male
Capitán de justicia,male
Cayo Ceselio,male
Celidora,female
Cericea,female
Clarelio,male
Clodoveo,male
Clorilene,female
Cornelio Pineli,male
Corsario,male
Credencio,male
Crisanto,male
Dueña,female
Ediltrudis,female
Embajador de Inglaterra,male
Embajador de Polonia en Francia,male
Embajador de Suecia en Francia,male
Embajador veneciano en Francia,male
Eustorgio,male
Gobernador de Astracán,male
Gobernador de la Isla de Ceres,male
Gobernador de Marsella,male
Hijos de Rafael de Veamonte,male
Indio esclavo,male
Juana,female
Leoncio,male
Marinero prusiano,male
Marineros,male
Mauricio,male
Mesonero,male
Ministros de justicia,male
Mozo español,male
Músicos,male
Nobles,male
Nomberto,male
Pigmerio,male
Plácida,female
Presidente,male
Rafael de Veamonte,male
Rey de Francia,male
Riselo,male
Roberto,male
Rugiel,male
Sabina Perusa,female
Sacerdote de Ceres,male
Viuda noble,female
