personajes,gender
Alcaide,male
Alcalde,male
Arzobispo,male
Asesor,male
Aya de Leoncio,female
Basilia,female
Castellano,male
Cautivos,male
Criado,male
Daraja,female
Escribano,male
Fadrique,male
Feliciana,female
Fernando Dávalos,male
Gabino,male
Galeotes,male
Gebelino,male
Genorodano,male
Gervás,male
Gómez de Ceballos,male
Kasimiro,male
Laureano,male
Moros,male
Muley Jarife,male
Nitophormio,male
Piloto,male
Piratas renegados,male
Potentado,male
Religioso,male
Ricaredo,male
Rosimunda,female
Semprilis,female
Sitebusa,female
Soldados,male
Villanos,male
