lengua,,,,,,,,,,,
español,Semprilis,Genorodano,,,,,,,,,
español,Semprilis,Genorodano,,,,,,,,,
español,Genorodano,Gómez de Ceballos,,,,,,,,,
español,Semprilis,Muley Jarife,Moros,Galeotes,,,,,,,
árabe,Muley Jarife,Daraja,,,,,,,,,
español,Semprilis,Daraja,,,,,,,,,
español,Muley Jarife,Daraja,Semprilis,,,,,,,,
español,Daraja,Semprilis,Cautivos,,,,,,,,
español,Muley Jarife,Daraja,Semprilis,,,,,,,,
español,Muley Jarife,Daraja,Semprilis,,,,,,,,
español,Daraja,Semprilis,Religioso,Cautivos,Gómez de Ceballos,,,,,,
español,Daraja,Semprilis,Gómez de Ceballos,Religioso,,,,,,,
polaco,Villanos,Castellano,Alcaide,,,,,,,,
español,Daraja,Semprilis,Gómez de Ceballos,Religioso,Alcaide,,,,,,
polaco,Alcaide,Soldados,,,,,,,,,
polaco,Kasimiro,Alcaide,,,,,,,,,
español,Kasimiro,Daraja,Semprilis,Gómez de Ceballos,Religioso,,,,,,
español,Daraja,Semprilis,Gómez de Ceballos,Religioso,,,,,,,
español,Kasimiro,Daraja,Semprilis,Gómez de Ceballos,Religioso,,,,,,
lengua bárbara,Gabino,Nitophormio,,,,,,,,,
latín,Nitophormio,Religioso,,,,,,,,,
lengua bárbara,Nitophormio,Criado,,,,,,,,,
lengua bárbara,Gabino,Potentado,Gervás,Nitophormio,,,,,,,
lengua bárbara,Nitophormio,Laureano,,,,,,,,,
lengua bárbara,Nitophormio,Genorodano,,,,,,,,,
español,Semprilis,Genorodano,Kasimiro,Daraja,Gómez de Ceballos,Religioso,,,,,
español,Semprilis,Genorodano,Kasimiro,Daraja,Semprilis,Gómez de Ceballos,Religioso,,,,
lengua de signos,Gabino,Sitebusa,Genorodano,,,,,,,,
español,Genorodano,Fadrique,,,,,,,,,
español,Nitophormio,Semprilis,Genorodano,Piloto,,,,,,,
lengua bárbara,Nitophormio,Laureano,Sitebusa,,,,,,,,
español,Fadrique,Kasimiro,Feliciana,,,,,,,,
español,Semprilis,Genorodano,Kasimiro,Daraja,Gómez de Ceballos,Religioso,Fadrique,Feliciana,,,
español,Alcalde,Escribano,Asesor,Genorodano,,,,,,,
español,Semprilis,Kasimiro,,,,,,,,,
español,Semprilis,Aya de Leoncio,Rosimunda,Daraja,,,,,,,
tártaro,Rosimunda,Genorodano,Gebelino,,,,,,,,
español,Rosimunda,Genorodano,,,,,,,,,
español,Fernando Dávalos,Fadrique,,,,,,,,,
español,Fernando Dávalos,Fadrique,Genorodano,Semprilis,Daraja,,,,,,
español,Ricaredo,Aya de Leoncio,Rosimunda,,,,,,,,
español,Semprilis,Genorodano,Aya de Leoncio,,,,,,,,
español,Semprilis,Genorodano,Aya de Leoncio,Ricaredo,Kasimiro,Basilia,,,,,
español,Semprilis,Genorodano,Piratas renegados,Feliciana,Arzobispo,Ricaredo,Aya de Leoncio,Daraja,Gómez de Ceballos,Muley Jarife,Rosimunda
español,Fadrique,Feliciana,Fernando Dávalos,,,,,,,,
